county,date,cases,name,population,population-per-100K,cases-per-100K,rate
Hale,2020-03-04,0,Hale,33406,0.33406,0.0,0.0
Hall,2020-03-04,0,Hall,2964,0.02964,0.0,0.0
Hamilton,2020-03-04,0,Hamilton,8461,0.08461,0.0,0.0
Hansford,2020-03-04,0,Hansford,5399,0.05399,0.0,0.0
Hardeman,2020-03-04,0,Hardeman,3933,0.03933,0.0,0.0
Hardin,2020-03-04,0,Hardin,57602,0.57602,0.0,0.0
Harris,2020-03-04,0,Harris,4713325,47.13325,0.0,0.0
Harrison,2020-03-04,0,Harrison,66553,0.66553,0.0,0.0
Hartley,2020-03-04,0,Hartley,5576,0.05576,0.0,0.0
Haskell,2020-03-04,0,Haskell,5658,0.05658,0.0,0.0
Hays,2020-03-04,0,Hays,230191,2.30191,0.0,0.0
Hemphill,2020-03-04,0,Hemphill,3819,0.03819,0.0,0.0
Henderson,2020-03-04,0,Henderson,82737,0.82737,0.0,0.0
Hidalgo,2020-03-04,0,Hidalgo,868707,8.68707,0.0,0.0
Hill,2020-03-04,0,Hill,36649,0.36649,0.0,0.0
Hockley,2020-03-04,0,Hockley,23021,0.23021,0.0,0.0
Hood,2020-03-04,0,Hood,61643,0.61643,0.0,0.0
Hopkins,2020-03-04,0,Hopkins,37084,0.37084,0.0,0.0
Houston,2020-03-04,0,Houston,22968,0.22968,0.0,0.0
Howard,2020-03-04,0,Howard,36664,0.36664,0.0,0.0
Hudspeth,2020-03-04,0,Hudspeth,4886,0.04886,0.0,0.0
Hunt,2020-03-04,0,Hunt,98594,0.98594,0.0,0.0
Hutchinson,2020-03-04,0,Hutchinson,20938,0.20938,0.0,0.0
Irion,2020-03-04,0,Irion,1536,0.01536,0.0,0.0
Jack,2020-03-04,0,Jack,8935,0.08935,0.0,0.0
Jackson,2020-03-04,0,Jackson,14760,0.1476,0.0,0.0
Jasper,2020-03-04,0,Jasper,35529,0.35529,0.0,0.0
Jeff Davis,2020-03-04,0,Jeff Davis,2274,0.02274,0.0,0.0
Jefferson,2020-03-04,0,Jefferson,251565,2.51565,0.0,0.0
Jim Hogg,2020-03-04,0,Jim Hogg,5200,0.052,0.0,0.0
Jim Wells,2020-03-04,0,Jim Wells,40482,0.40482,0.0,0.0
Johnson,2020-03-04,0,Johnson,175817,1.75817,0.0,0.0
Jones,2020-03-04,0,Jones,20083,0.20083,0.0,0.0
Karnes,2020-03-04,0,Karnes,15601,0.15601,0.0,0.0
Kaufman,2020-03-04,0,Kaufman,136154,1.36154,0.0,0.0
Kendall,2020-03-04,0,Kendall,47431,0.47431,0.0,0.0
Kenedy,2020-03-04,0,Kenedy,404,0.00404,0.0,0.0
Kent,2020-03-04,0,Kent,762,0.00762,0.0,0.0
Kerr,2020-03-04,0,Kerr,52600,0.526,0.0,0.0
Kimble,2020-03-04,0,Kimble,4337,0.04337,0.0,0.0
King,2020-03-04,0,King,272,0.00272,0.0,0.0
Kinney,2020-03-04,0,Kinney,3667,0.03667,0.0,0.0
Kleberg,2020-03-04,0,Kleberg,30680,0.3068,0.0,0.0
Knox,2020-03-04,0,Knox,3664,0.03664,0.0,0.0
Lamar,2020-03-04,0,Lamar,49859,0.49859,0.0,0.0
Lamb,2020-03-04,0,Lamb,12893,0.12893,0.0,0.0
Lampasas,2020-03-04,0,Lampasas,21428,0.21428,0.0,0.0
La Salle,2020-03-04,0,La Salle,7520,0.0752,0.0,0.0
Lavaca,2020-03-04,0,Lavaca,20154,0.20154,0.0,0.0
Lee,2020-03-04,0,Lee,17239,0.17239,0.0,0.0
Leon,2020-03-04,0,Leon,17404,0.17404,0.0,0.0
Liberty,2020-03-04,0,Liberty,88219,0.88219,0.0,0.0
Limestone,2020-03-04,0,Limestone,23437,0.23437,0.0,0.0
Lipscomb,2020-03-04,0,Lipscomb,3233,0.03233,0.0,0.0
Live Oak,2020-03-04,0,Live Oak,12207,0.12207,0.0,0.0
Llano,2020-03-04,0,Llano,21795,0.21795,0.0,0.0
Loving,2020-03-04,0,Loving,169,0.00169,0.0,0.0
Lubbock,2020-03-04,0,Lubbock,310569,3.10569,0.0,0.0
Lynn,2020-03-04,0,Lynn,5951,0.05951,0.0,0.0
McCulloch,2020-03-04,0,McCulloch,7984,0.07984,0.0,0.0
McLennan,2020-03-04,0,McLennan,256623,2.56623,0.0,0.0
McMullen,2020-03-04,0,McMullen,743,0.00743,0.0,0.0
Madison,2020-03-04,0,Madison,14284,0.14284,0.0,0.0
Marion,2020-03-04,0,Marion,9854,0.09854,0.0,0.0
Martin,2020-03-04,0,Martin,5771,0.05771,0.0,0.0
Mason,2020-03-04,0,Mason,4274,0.04274,0.0,0.0
Matagorda,2020-03-04,0,Matagorda,36643,0.36643,0.0,0.0
Maverick,2020-03-04,0,Maverick,58722,0.58722,0.0,0.0
Medina,2020-03-04,0,Medina,51584,0.51584,0.0,0.0
Menard,2020-03-04,0,Menard,2138,0.02138,0.0,0.0
Midland,2020-03-04,0,Midland,176832,1.76832,0.0,0.0
Milam,2020-03-04,0,Milam,24823,0.24823,0.0,0.0
Mills,2020-03-04,0,Mills,4873,0.04873,0.0,0.0
Mitchell,2020-03-04,0,Mitchell,8545,0.08545,0.0,0.0
Montague,2020-03-04,0,Montague,19818,0.19818,0.0,0.0
Montgomery,2020-03-04,0,Montgomery,607391,6.07391,0.0,0.0
Moore,2020-03-04,0,Moore,20940,0.2094,0.0,0.0
Morris,2020-03-04,0,Morris,12388,0.12388,0.0,0.0
Motley,2020-03-04,0,Motley,1200,0.012,0.0,0.0
Nacogdoches,2020-03-04,0,Nacogdoches,65204,0.65204,0.0,0.0
Navarro,2020-03-04,0,Navarro,50113,0.50113,0.0,0.0
Newton,2020-03-04,0,Newton,13595,0.13595,0.0,0.0
Nolan,2020-03-04,0,Nolan,14714,0.14714,0.0,0.0
Nueces,2020-03-04,0,Nueces,362294,3.62294,0.0,0.0
Ochiltree,2020-03-04,0,Ochiltree,9836,0.09836,0.0,0.0
Oldham,2020-03-04,0,Oldham,2112,0.02112,0.0,0.0
Orange,2020-03-04,0,Orange,83396,0.83396,0.0,0.0
Palo Pinto,2020-03-04,0,Palo Pinto,29189,0.29189,0.0,0.0
Panola,2020-03-04,0,Panola,23194,0.23194,0.0,0.0
Parker,2020-03-04,0,Parker,142878,1.42878,0.0,0.0
Parmer,2020-03-04,0,Parmer,9605,0.09605,0.0,0.0
Pecos,2020-03-04,0,Pecos,15823,0.15823,0.0,0.0
Polk,2020-03-04,0,Polk,51353,0.51353,0.0,0.0
Potter,2020-03-04,0,Potter,117415,1.17415,0.0,0.0
Presidio,2020-03-04,0,Presidio,6704,0.06704,0.0,0.0
Rains,2020-03-04,0,Rains,12514,0.12514,0.0,0.0
Randall,2020-03-04,0,Randall,137713,1.37713,0.0,0.0
Reagan,2020-03-04,0,Reagan,3849,0.03849,0.0,0.0
Real,2020-03-04,0,Real,3452,0.03452,0.0,0.0
Red River,2020-03-04,0,Red River,12023,0.12023,0.0,0.0
Reeves,2020-03-04,0,Reeves,15976,0.15976,0.0,0.0
Refugio,2020-03-04,0,Refugio,6948,0.06948,0.0,0.0
Roberts,2020-03-04,0,Roberts,854,0.00854,0.0,0.0
Robertson,2020-03-04,0,Robertson,17074,0.17074,0.0,0.0
Rockwall,2020-03-04,0,Rockwall,104915,1.04915,0.0,0.0
Runnels,2020-03-04,0,Runnels,10264,0.10264,0.0,0.0
Rusk,2020-03-04,0,Rusk,54406,0.54406,0.0,0.0
Sabine,2020-03-04,0,Sabine,10542,0.10542,0.0,0.0
San Augustine,2020-03-04,0,San Augustine,8237,0.08237,0.0,0.0
San Jacinto,2020-03-04,0,San Jacinto,28859,0.28859,0.0,0.0
San Patricio,2020-03-04,0,San Patricio,66730,0.6673,0.0,0.0
San Saba,2020-03-04,0,San Saba,6055,0.06055,0.0,0.0
Schleicher,2020-03-04,0,Schleicher,2793,0.02793,0.0,0.0
Scurry,2020-03-04,0,Scurry,16703,0.16703,0.0,0.0
Shackelford,2020-03-04,0,Shackelford,3265,0.03265,0.0,0.0
Shelby,2020-03-04,0,Shelby,25274,0.25274,0.0,0.0
Sherman,2020-03-04,0,Sherman,3022,0.03022,0.0,0.0
Smith,2020-03-04,0,Smith,232751,2.32751,0.0,0.0
Somervell,2020-03-04,0,Somervell,9128,0.09128,0.0,0.0
Starr,2020-03-04,0,Starr,64633,0.64633,0.0,0.0
Stephens,2020-03-04,0,Stephens,9366,0.09366,0.0,0.0
Sterling,2020-03-04,0,Sterling,1291,0.01291,0.0,0.0
Stonewall,2020-03-04,0,Stonewall,1350,0.0135,0.0,0.0
Sutton,2020-03-04,0,Sutton,3776,0.03776,0.0,0.0
Swisher,2020-03-04,0,Swisher,7397,0.07397,0.0,0.0
Tarrant,2020-03-04,0,Tarrant,2102515,21.02515,0.0,0.0
Taylor,2020-03-04,0,Taylor,138034,1.38034,0.0,0.0
Terrell,2020-03-04,0,Terrell,776,0.00776,0.0,0.0
Terry,2020-03-04,0,Terry,12337,0.12337,0.0,0.0
