county,date,deaths,name,population,population-per-100K,deaths-per-100K
Smith,2020-03-08,0,Smith,232751.0,2.32751,0.0
Somervell,2020-03-08,0,Somervell,9128.0,0.09128,0.0
Starr,2020-03-08,0,Starr,64633.0,0.64633,0.0
Stephens,2020-03-08,0,Stephens,9366.0,0.09366,0.0
Sterling,2020-03-08,0,Sterling,1291.0,0.01291,0.0
Stonewall,2020-03-08,0,Stonewall,1350.0,0.0135,0.0
Sutton,2020-03-08,0,Sutton,3776.0,0.03776,0.0
Swisher,2020-03-08,0,Swisher,7397.0,0.07397,0.0
Tarrant,2020-03-08,0,Tarrant,2102515.0,21.02515,0.0
Taylor,2020-03-08,0,Taylor,138034.0,1.38034,0.0
Terrell,2020-03-08,0,Terrell,776.0,0.00776,0.0
Terry,2020-03-08,0,Terry,12337.0,0.12337,0.0
Throckmorton,2020-03-08,0,Throckmorton,1501.0,0.01501,0.0
Titus,2020-03-08,0,Titus,32750.0,0.3275,0.0
Tom green,2020-03-08,0,,,,
Travis,2020-03-08,0,Travis,1273954.0,12.73954,0.0
Trinity,2020-03-08,0,Trinity,14651.0,0.14651,0.0
Tyler,2020-03-08,0,Tyler,21672.0,0.21672,0.0
Upshur,2020-03-08,0,Upshur,41753.0,0.41753,0.0
Upton,2020-03-08,0,Upton,3657.0,0.03657,0.0
Uvalde,2020-03-08,0,Uvalde,26741.0,0.26741,0.0
Val verde,2020-03-08,0,,,,
Van zandt,2020-03-08,0,,,,
Victoria,2020-03-08,0,Victoria,92084.0,0.92084,0.0
Walker,2020-03-08,0,Walker,72971.0,0.72971,0.0
Waller,2020-03-08,0,Waller,55246.0,0.55246,0.0
Ward,2020-03-08,0,Ward,11998.0,0.11998,0.0
Washington,2020-03-08,0,Washington,35882.0,0.35882,0.0
Webb,2020-03-08,0,Webb,276652.0,2.76652,0.0
Wharton,2020-03-08,0,Wharton,41556.0,0.41556,0.0
Wheeler,2020-03-08,0,Wheeler,5056.0,0.05056,0.0
Wichita,2020-03-08,0,Wichita,132230.0,1.3223,0.0
Wilbarger,2020-03-08,0,Wilbarger,12769.0,0.12769,0.0
Willacy,2020-03-08,0,Willacy,21358.0,0.21358,0.0
Williamson,2020-03-08,0,Williamson,590551.0,5.90551,0.0
Wilson,2020-03-08,0,Wilson,51070.0,0.5107,0.0
Winkler,2020-03-08,0,Winkler,8010.0,0.0801,0.0
Wise,2020-03-08,0,Wise,69984.0,0.69984,0.0
Wood,2020-03-08,0,Wood,45539.0,0.45539,0.0
Yoakum,2020-03-08,0,Yoakum,8713.0,0.08713,0.0
Young,2020-03-08,0,Young,18010.0,0.1801,0.0
Zapata,2020-03-08,0,Zapata,14179.0,0.14179,0.0
Anderson,2020-03-09,0,Anderson,57735.0,0.57735,0.0
Andrews,2020-03-09,0,Andrews,18705.0,0.18705,0.0
Angelina,2020-03-09,0,Angelina,86715.0,0.86715,0.0
Aransas,2020-03-09,0,Aransas,23510.0,0.2351,0.0
Archer,2020-03-09,0,Archer,8553.0,0.08553,0.0
Armstrong,2020-03-09,0,Armstrong,1887.0,0.01887,0.0
Atascosa,2020-03-09,0,Atascosa,51153.0,0.51153,0.0
Austin,2020-03-09,0,Austin,30032.0,0.30032,0.0
Bailey,2020-03-09,0,Bailey,7000.0,0.07,0.0
Bandera,2020-03-09,0,Bandera,23112.0,0.23112,0.0
Bastrop,2020-03-09,0,Bastrop,88723.0,0.88723,0.0
Baylor,2020-03-09,0,Baylor,3509.0,0.03509,0.0
Bee,2020-03-09,0,Bee,32565.0,0.32565,0.0
Bell,2020-03-09,0,Bell,362924.0,3.62924,0.0
Bexar,2020-03-09,0,Bexar,2003554.0,20.03554,0.0
Blanco,2020-03-09,0,Blanco,11931.0,0.11931,0.0
Borden,2020-03-09,0,Borden,654.0,0.00654,0.0
Bosque,2020-03-09,0,Bosque,18685.0,0.18685,0.0
Bowie,2020-03-09,0,Bowie,93245.0,0.93245,0.0
Brazoria,2020-03-09,0,Brazoria,374264.0,3.74264,0.0
Brazos,2020-03-09,0,Brazos,229211.0,2.29211,0.0
Brewster,2020-03-09,0,Brewster,9203.0,0.09203,0.0
