county,date,cases,name,population,population-per-100K,cases-per-100K
Loving,2020-03-05,0,Loving,169,0.00169,0.0
Lubbock,2020-03-05,0,Lubbock,310569,3.10569,0.0
Lynn,2020-03-05,0,Lynn,5951,0.05951,0.0
McCulloch,2020-03-05,0,McCulloch,7984,0.07984,0.0
McLennan,2020-03-05,0,McLennan,256623,2.56623,0.0
McMullen,2020-03-05,0,McMullen,743,0.00743,0.0
Madison,2020-03-05,0,Madison,14284,0.14284,0.0
Marion,2020-03-05,0,Marion,9854,0.09854,0.0
Martin,2020-03-05,0,Martin,5771,0.05771,0.0
Mason,2020-03-05,0,Mason,4274,0.04274,0.0
Matagorda,2020-03-05,0,Matagorda,36643,0.36643,0.0
Maverick,2020-03-05,0,Maverick,58722,0.58722,0.0
Medina,2020-03-05,0,Medina,51584,0.51584,0.0
Menard,2020-03-05,0,Menard,2138,0.02138,0.0
Midland,2020-03-05,0,Midland,176832,1.76832,0.0
Milam,2020-03-05,0,Milam,24823,0.24823,0.0
Mills,2020-03-05,0,Mills,4873,0.04873,0.0
Mitchell,2020-03-05,0,Mitchell,8545,0.08545,0.0
Montague,2020-03-05,0,Montague,19818,0.19818,0.0
Montgomery,2020-03-05,0,Montgomery,607391,6.07391,0.0
Moore,2020-03-05,0,Moore,20940,0.2094,0.0
Morris,2020-03-05,0,Morris,12388,0.12388,0.0
Motley,2020-03-05,0,Motley,1200,0.012,0.0
Nacogdoches,2020-03-05,0,Nacogdoches,65204,0.65204,0.0
Navarro,2020-03-05,0,Navarro,50113,0.50113,0.0
Newton,2020-03-05,0,Newton,13595,0.13595,0.0
Nolan,2020-03-05,0,Nolan,14714,0.14714,0.0
Nueces,2020-03-05,0,Nueces,362294,3.62294,0.0
Ochiltree,2020-03-05,0,Ochiltree,9836,0.09836,0.0
Oldham,2020-03-05,0,Oldham,2112,0.02112,0.0
Orange,2020-03-05,0,Orange,83396,0.83396,0.0
Palo Pinto,2020-03-05,0,Palo Pinto,29189,0.29189,0.0
Panola,2020-03-05,0,Panola,23194,0.23194,0.0
Parker,2020-03-05,0,Parker,142878,1.42878,0.0
Parmer,2020-03-05,0,Parmer,9605,0.09605,0.0
Pecos,2020-03-05,0,Pecos,15823,0.15823,0.0
Polk,2020-03-05,0,Polk,51353,0.51353,0.0
Potter,2020-03-05,0,Potter,117415,1.17415,0.0
Presidio,2020-03-05,0,Presidio,6704,0.06704,0.0
Rains,2020-03-05,0,Rains,12514,0.12514,0.0
Randall,2020-03-05,0,Randall,137713,1.37713,0.0
Reagan,2020-03-05,0,Reagan,3849,0.03849,0.0
Real,2020-03-05,0,Real,3452,0.03452,0.0
Red River,2020-03-05,0,Red River,12023,0.12023,0.0
Reeves,2020-03-05,0,Reeves,15976,0.15976,0.0
Refugio,2020-03-05,0,Refugio,6948,0.06948,0.0
Roberts,2020-03-05,0,Roberts,854,0.00854,0.0
Robertson,2020-03-05,0,Robertson,17074,0.17074,0.0
Rockwall,2020-03-05,0,Rockwall,104915,1.04915,0.0
Runnels,2020-03-05,0,Runnels,10264,0.10264,0.0
Rusk,2020-03-05,0,Rusk,54406,0.54406,0.0
Sabine,2020-03-05,0,Sabine,10542,0.10542,0.0
San Augustine,2020-03-05,0,San Augustine,8237,0.08237,0.0
San Jacinto,2020-03-05,0,San Jacinto,28859,0.28859,0.0
San Patricio,2020-03-05,0,San Patricio,66730,0.6673,0.0
San Saba,2020-03-05,0,San Saba,6055,0.06055,0.0
Schleicher,2020-03-05,0,Schleicher,2793,0.02793,0.0
Scurry,2020-03-05,0,Scurry,16703,0.16703,0.0
Shackelford,2020-03-05,0,Shackelford,3265,0.03265,0.0
Shelby,2020-03-05,0,Shelby,25274,0.25274,0.0
Sherman,2020-03-05,0,Sherman,3022,0.03022,0.0
Smith,2020-03-05,0,Smith,232751,2.32751,0.0
Somervell,2020-03-05,0,Somervell,9128,0.09128,0.0
Starr,2020-03-05,0,Starr,64633,0.64633,0.0
Stephens,2020-03-05,0,Stephens,9366,0.09366,0.0
Sterling,2020-03-05,0,Sterling,1291,0.01291,0.0
Stonewall,2020-03-05,0,Stonewall,1350,0.0135,0.0
Sutton,2020-03-05,0,Sutton,3776,0.03776,0.0
Swisher,2020-03-05,0,Swisher,7397,0.07397,0.0
Tarrant,2020-03-05,0,Tarrant,2102515,21.02515,0.0
Taylor,2020-03-05,0,Taylor,138034,1.38034,0.0
Terrell,2020-03-05,0,Terrell,776,0.00776,0.0
Terry,2020-03-05,0,Terry,12337,0.12337,0.0
Throckmorton,2020-03-05,0,Throckmorton,1501,0.01501,0.0
Titus,2020-03-05,0,Titus,32750,0.3275,0.0
Tom Green,2020-03-05,0,Tom Green,119200,1.192,0.0
Travis,2020-03-05,0,Travis,1273954,12.73954,0.0
Trinity,2020-03-05,0,Trinity,14651,0.14651,0.0
Tyler,2020-03-05,0,Tyler,21672,0.21672,0.0
Upshur,2020-03-05,0,Upshur,41753,0.41753,0.0
Upton,2020-03-05,0,Upton,3657,0.03657,0.0
Uvalde,2020-03-05,0,Uvalde,26741,0.26741,0.0
Val Verde,2020-03-05,0,Val Verde,49025,0.49025,0.0
Van Zandt,2020-03-05,0,Van Zandt,56590,0.5659,0.0
Victoria,2020-03-05,0,Victoria,92084,0.92084,0.0
Walker,2020-03-05,0,Walker,72971,0.72971,0.0
Waller,2020-03-05,0,Waller,55246,0.55246,0.0
Ward,2020-03-05,0,Ward,11998,0.11998,0.0
Washington,2020-03-05,0,Washington,35882,0.35882,0.0
Webb,2020-03-05,0,Webb,276652,2.76652,0.0
Wharton,2020-03-05,0,Wharton,41556,0.41556,0.0
Wheeler,2020-03-05,0,Wheeler,5056,0.05056,0.0
Wichita,2020-03-05,0,Wichita,132230,1.3223,0.0
Wilbarger,2020-03-05,0,Wilbarger,12769,0.12769,0.0
Willacy,2020-03-05,0,Willacy,21358,0.21358,0.0
Williamson,2020-03-05,0,Williamson,590551,5.90551,0.0
Wilson,2020-03-05,0,Wilson,51070,0.5107,0.0
Winkler,2020-03-05,0,Winkler,8010,0.0801,0.0
Wise,2020-03-05,0,Wise,69984,0.69984,0.0
Wood,2020-03-05,0,Wood,45539,0.45539,0.0
Yoakum,2020-03-05,0,Yoakum,8713,0.08713,0.0
Young,2020-03-05,0,Young,18010,0.1801,0.0
Zapata,2020-03-05,0,Zapata,14179,0.14179,0.0
Zavala,2020-03-05,0,Zavala,11840,0.1184,0.0
Anderson,2020-03-06,0,Anderson,57735,0.57735,0.0
Andrews,2020-03-06,0,Andrews,18705,0.18705,0.0
Angelina,2020-03-06,0,Angelina,86715,0.86715,0.0
Aransas,2020-03-06,0,Aransas,23510,0.2351,0.0
Archer,2020-03-06,0,Archer,8553,0.08553,0.0
Armstrong,2020-03-06,0,Armstrong,1887,0.01887,0.0
Atascosa,2020-03-06,0,Atascosa,51153,0.51153,0.0
Austin,2020-03-06,0,Austin,30032,0.30032,0.0
Bailey,2020-03-06,0,Bailey,7000,0.07,0.0
Bandera,2020-03-06,0,Bandera,23112,0.23112,0.0
Bastrop,2020-03-06,0,Bastrop,88723,0.88723,0.0
Baylor,2020-03-06,0,Baylor,3509,0.03509,0.0
Bee,2020-03-06,0,Bee,32565,0.32565,0.0
Bell,2020-03-06,0,Bell,362924,3.62924,0.0
Bexar,2020-03-06,0,Bexar,2003554,20.03554,0.0
Blanco,2020-03-06,0,Blanco,11931,0.11931,0.0
Borden,2020-03-06,0,Borden,654,0.00654,0.0
Bosque,2020-03-06,0,Bosque,18685,0.18685,0.0
Bowie,2020-03-06,0,Bowie,93245,0.93245,0.0
Brazoria,2020-03-06,0,Brazoria,374264,3.74264,0.0
Brazos,2020-03-06,0,Brazos,229211,2.29211,0.0
Brewster,2020-03-06,0,Brewster,9203,0.09203,0.0
Briscoe,2020-03-06,0,Briscoe,1546,0.01546,0.0
Brooks,2020-03-06,0,Brooks,7093,0.07093,0.0
Brown,2020-03-06,0,Brown,37864,0.37864,0.0
Burleson,2020-03-06,0,Burleson,18443,0.18443,0.0
Burnet,2020-03-06,0,Burnet,48155,0.48155,0.0
Caldwell,2020-03-06,0,Caldwell,43664,0.43664,0.0
Calhoun,2020-03-06,0,Calhoun,21290,0.2129,0.0
Callahan,2020-03-06,0,Callahan,13943,0.13943,0.0
Cameron,2020-03-06,0,Cameron,423163,4.23163,0.0
